cleaned_name,cluster
Начальник мастерской,
Репетитор по вокалу,648.0
Старший билетный кассир,567.0
Начальник отдел кадров,1667.0
Артист ведущий мастер сцены,773.0
Контролер билетов,1105.0
Художник бутафор,1295.0
Художник модельер театрального костюма,339.0
Руководитель литературно драматургической частью,806.0
Инженер программист,136.0
Рабочий по комплексному обслуживанию здания,1663.0
Директор театра,24.0
Бутафор,1295.0
Изготовитель игровых кукол,1433.0
Заведующий билетными кассами,13.0
Оператор видеозаписи,70.0
Ведущий инженер энергетик,662.0
Диспетчер,1471.0
Экспедитор по перевозке грузов,561.0
Гример-постижер,737.0
Заведующий театрально производственной мастерской,277.0
Главный художник,1037.0
Режиссер постановщик,285.0
Художник постановщик,302.0
Инженер по охране труда технике безопасности,1680.0
Столяр,198.0
Дежурный по общежитию,311.0
Начальник отдела материально-технического снабжения,1693.0
Заместитель директора по учебной работе,348.0
Советник директора по воспитанию взаимодействию детскими общественными объединениями,1632.0
Заведующий учебно-производственной мастерской по ковроткачеству,277.0
Заведующий столовой,587.0
Заведующий общежитием,911.0
Повар,267.0
Инспектор по кадрам,287.0
Заведующий учебно- производственной мастерской по гончарному искусству,277.0
Заведующий музыкальной лабораторией,
Хормейстер,286.0
Заместитель директора по воспитательной работе,
Оператор компьютерного набора верстки,121.0
Уборщик территорий,528.0
Механик,256.0
Водитель атомобиля,62.0
Слесарь по ремонту автомобилей,1697.0
Ведущий диспетчер,56.0
Медицинская сестра,1023.0
Главный инженер,952.0
Тракторист,651.0
Рабочий зеленого хозяйства,736.0
Маляр,129.0
Дежурная по общежитию,311.0
Рабочий по комплексному обслуж ремонту зданий,1663.0
Заведующий практики,1704.0
Заведующий заочным отделением,1636.0
Заведующий учебного отделения,1387.0
Заведующий обоянским филиалом колдеджа,
Комендант,1062.0
Старший воспитатель,43.0
Заместитель директора по научно-методической работе,
Начальник отдела закупок,1658.0
Машинистка,376.0
Эксперт,386.0
Начальник службы безопасности,317.0
Заведующий фотолабораторией,13.0
Буфетчик,765.0
Преподаватель-организатор основам безопасности жизнедеятельности,1641.0
Руководитель физвоспитания,1142.0
Механник,256.0
Паспортист,471.0
Аккомпаниатор,299.0
Кастелянша,503.0
Слесарь-сантехник,939.0
Генеральный директор,24.0
Лектор,81.0
Культорганизатор,891.0
Хранитель музейных предметов,543.0
Ведущий специалист по маркетингу,1184.0
Кассир билетный,567.0
Заместитель директора по научно-фондовой работе,
Заместитель директора по научно-просветительной выставочной работе,
Специалист по учету музейных предметов,543.0
Хранитель экспонатов,1190.0
Редактор электронных баз данных музея,459.0
Художник реставратор,270.0
Специалист по снабжению,524.0
Рабочий по уходу за животными,1386.0
Организатор экскурсий,280.0
Садовник,192.0
Инженер-электрик,976.0
Главный специалист по связям общественностью,217.0
Главный научный сотрудник,36.0
Ветеринарный врач,354.0
Техник-программист,323.0
Главный специалист отдела кадров,1151.0
Инженер по надзору за строительством,1025.0
Организатор лекций,280.0
Руководитель кружка,777.0
Художник дизайнер,1213.0
Реставратор художественных изделий декоративных предметов,883.0
Главный экономист,571.0
Художник-дизайнер,1213.0
Главный художник-реставратор,270.0
Реставратор тканей гобеленов ковров,883.0
Ведущий ветеринарный врач,1660.0
Ветеринарный фельдшер,42.0
Руководитель,25.0
Начальник овсэ,19.0
Уполномоченный по защите прав предпринимателей курской области,967.0
Помощник уполномоченного,844.0
Заместитель руководителя,180.0
Техник по обслуживанию газовых котлов,1124.0
Мастер по промыслам,40.0
Заместитель директора по инновационной методической деятельности,1311.0
Заместитель директора по организационной творческой деятельности,1650.0
Заместитель директора по хозяйственной части,1009.0
Энергетик,350.0
Ведущий инженер,319.0
Заместитель директора по коммерческим вопросам,37.0
Уполномоченный по правам реб нка курской области,1074.0
Помощник уполномоченного по правам ребенка курской области,844.0
Начальник отдела информации,1207.0
Управляющий делами,
Уполномоченный по правам человека,1074.0
Операто котельной,
Заместитель директора по умр,1131.0
Преподаватель дши,1261.0
Преподаватель внешний,915.0
Рабочий по обслуживания газовой котельной,71.0
Рабочий по обслуживания здания,1633.0
Начальник отдела реализации продвижения туристских проектов,271.0
Начальник отдела развития туристской инфраструктуры,852.0
Начальник информационно-аналитического центра,
Настройщик духовых инструментов,365.0
Заместитель директора по внеклассной работе,443.0
Завхоз,927.0
Специалист по учебно-методической работе,
Убощик служебных помещений,347.0
Заместитель дироектора по учебно-воспитательной работе,181.0
Главный государственный инженер-инспектор,661.0
Главный государственный инженер-инспектор городов районов курской области по инспекционной работе,210.0
Главный государственный инженер-инспектор курска,661.0
Заместитель начальника инспекции-заместитель главного государственного инженера-инспектора курской области,1096.0
Главный консультант отдела финансового хозяйственного учета,862.0
Главный консультант организационно-аналитического отдела,164.0
Главный государственный инженер-инспектор суджанского районов,661.0
Начальник отдела финансового хозяйственного учета,862.0
Главный государственный инженер-инспектор железногорского дмитриевского районов,661.0
Начальник отдела регионального надзора,1321.0
Главный государственный инженер-инспектор городов районов курской области по надзору за аттракционами,210.0
Начальник инспекции-главный государственный инженер инспектор курской области,661.0
Начальник отдела-организационно-аналитический,984.0
Начальник отдела инспекционной работы,182.0
Начальник отдела -главный государственный инженер-инспектор курска,661.0
Заместитель главного государственного инженера-инспектора курска,1096.0
Главный специалист отдела археологической экспертизы,
Начальник инспекции,937.0
Заместитель начальника,424.0
Начальник отдела археологической экспертизы,
Главный специалист отдела архитектурно- исторической экспертизы,298.0
Начальник отдела архитектурно-исторической экспертизы,298.0
Архитектор отдела архитектурно-исторической экспертизы,298.0
Главный консультант ар,164.0
Главный консультант ит,164.0
Министр,866.0
Первый заместитель министра,478.0
Ведущий консультант,1605.0
Консультант,1513.0
Заместитель министра-начальник управления,313.0
Главный специалист информационно-технического отдела,202.0
Ведущий инженер программист отдела отраслевой цифровой трансформации,191.0
Главный специалист отдела связи,1123.0
Инженер программист отдела цифровой трансформации государственного управления,157.0
Начальник отдела связи,1123.0
Главный специалист по охране труда отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Главный специалист отдела отраслевой цифровой трансформации,191.0
Инженер программист отдела защиты информации,1506.0
Заместитель начальника отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Начальник отдела отраслевой цифровой трансформации,191.0
Инженер программист информационно-технического отдела,1514.0
Ведущий инженер программист отдела внедрения сопровождения информационных систем,200.0
Начальник отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Заместитель начальника отдела цифровой трансформации государственного управления,157.0
Ведущий инженер программист отдела цифровой трансформации государственного управления,157.0
Ведущий инженер программист отдела защиты информации 21г,1506.0
Инженер программист одела защиты информации,1506.0
Главный специалист отдела сетевой инфраструкты сопровождения цод,252.0
Инженер программист отдела внедрения сопровождения информационных систем,200.0
Главный специалист отдела внедрения сопровождения информационных систем,200.0
Начальник отдела защиты информации,1645.0
Главный специалист отдела цифровой трансформации государственного управления,157.0
Главный юрисконсульт отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Ведущий инженер программист отдела правового кадрового административно-хозяйственного обеспечения,87.0
Ведущий инженер программист информационно-технического отдела,1514.0
Главный специалист отдела сетевой инфраструктуры сопровождения цод,252.0
Инженер программист отдела мультимедийного сопровождния вкс,136.0
Главный специалист отдела защиты информации,1645.0
Заместитель начальника информационно-технического отдела,202.0
Заместитель начальника отдела защиты информации,1645.0
Начальник отдела внедрения сопровождения информационных систем,200.0
Главный специалист отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Начальник информационно-технического отдела,202.0
Главный специалист по кадрам отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Заместитель начальника отдела внедрения сопровождения информационных систем,200.0
Начальник отдела мультимедийного сопровождения вкс,102.0
Начальник отдела цифровой трансформации государственного управления,157.0
Начальник отдела сетевой инфраструктуры сопровождения цод,252.0
Заместитель начальника отдела сетевой инфраструктуры сопровождения цод,252.0
Инженер программист отдела аналитики внедрения прикладного,1580.0
Главный юрисконсульт,542.0
Ведущий инженер программист отдела средств вычислительной техники мультимедийного сопровождения вкс,925.0
Заместитель начальника отдела средств вычислительной техники мультимедийного сопровождения вкс,102.0
Инженер программист отдела средств вычислительной техники мультимедийного сопровождения,925.0
Главный специалист отдела средств вычислительной техники мультимедийного сопровождения,925.0
Ведущий инженер программист отдела средств вычислительной техники мультимедийного сопровождения,925.0
Заместитель начальника отдела отраслевой цифровой трансформации,191.0
Специалист по защите информации отдела защиты информации,1645.0
Ведущий инженер программист отдела сетевой инфраструктуры сопровождения цод,252.0
Главный консультант управления экономического планирования финансирования,1643.0
Заместитель начальника управления территориального планирования градостроительного зонирования,307.0
Референт отдела контроля за соблюдением законодательства градостроительной деятельности,138.0
Заместитель начальника управления правовой работы государственной службы обращений граждан,349.0
Начальник отдела информационных технологий защиты информации,1645.0
Начальник управления экономического планирования финансирования,1643.0
Заместитель начальника управления государственных муниципальных услуг,483.0
Референт отдела информационных технологий защиты информации,1645.0
Референт управления государственных муниципальных услуг,483.0
Заместитель начальника управления экономического планирования финансирования,1643.0
Начальник отдела контроля за соблюдением законодательства градостроительной деятельности,138.0
Референт управления территориального планирования градостроительного зонирования,307.0
Главный консультант управления государственных муниципальных услуг,483.0
Первый заместитель председателя комитета,581.0
Начальник управления территориального планирования градостроительного зонирования,307.0
Заместитель председателя начальник управления государственных муниципальных услуг,483.0
Начальник управления правовой работы государственной службы обращений граждан,349.0
Главный консультант управления правовой работы государственной службы обращений граждан,349.0
Председатель комитета главный архитектор курской области,238.0
Ведущий эксперт управления территориального планирования,995.0
Главный консультант управления территориального планирования,995.0
Начальник отдела правовой кадровой работы делопроизводства,1666.0
Главный консультант отдела контроля за соблюдением законодательства градостроительной деятельности,138.0
Начальник отдела главный бухгалтер отдела финансирования бухгалтерского учета,734.0
Эксперт отдела финансирования бухгалтерского учета,734.0
Главный консультант отдела финансирования бухгалтерского учета,734.0
Эксперт отдела правовой кадровой работы делопроизводства,1666.0
Заместитель председателя начальник управления территориального планирования,995.0
Заместитель председателя комитета-начальник управления,147.0
Начальник отдела экономического анализа финансирования контроля,779.0
Начальник отдела ресурсного обеспечения координации технического оснащения,827.0
Заместитель начальник отдела организационно-документационного обеспечения,1650.0
Главный консультант управления реестра актовых записей оказания государственных услуг хранения документов,66.0
Референт организационно-документационного обеспечения,1650.0
Заместитель начальник управления реестра актовых записей оказания государственных услуг хранения документов,66.0
Начальник отдела организационно-документационного обеспечения,1650.0
Начальник управления реестра актовых записей оказания государственных услуг хранения документов,66.0
Заместитель начальник отдела экономического анализа финансирования контроля,779.0
Архивариус управления реестра актовых записей оказания государственных услуг хранения документов,66.0
Оператор call центра,1055.0
Оператор диспетчерской службы,1334.0
Заместитель директора по транспорту,37.0
Ведущий эксперт по законодательству на транспорте,1359.0
Старший оператор пассажирского транспорта,1138.0
Помощник директора,1383.0
Оператор весового контроля,70.0
Контролер пассажирского транспорта,1138.0
Специалист по моделированию транспортной системы,1457.0
Старший контролер,193.0
Руководитель направления по модернизации транспорта,1586.0
Ведущий эксперт по экономике на транспорте,1359.0
Главный бухгалтер начальник отдела,216.0
Заместитель директора по обеспечению безопасности дорожного движения,7.0
Ведущий специалист,80.0
Старший оператор call центра,1055.0
Руководитель проектного офиса,25.0
Специалист по весовому контролю,666.0
Исполняющий обязанности директора,1126.0
Уборщица служебных помещений,347.0
Заместитель начальника инспекции,937.0
Заместитель начальника отдела аналитики цифровизации контрольно-надзорной деятельности,253.0
Заместитель начальника отдела строительного надзора,274.0
Начальник отдела специальных надзоров,272.0
Заместитель начальника отдела специальных надзоров,272.0
Начальник отдела строительного надзора,274.0
Начальник отдела аналитики цифровизации контрольно-надзорной деятельности,253.0
Ведущий консультант отдела аналитики цифровизации контрольно-надзорной деятельности,253.0
Главный государственный инспектор,188.0
Заместитель начальника инспекции-начальник отдела общего надзора,453.0
Заместитель начальника отдела технологического надзора,
Начальника инспекции,937.0
Начальник отдела технологич надзора,1321.0
Ведущий консультант отдела специальных надзоров,272.0
Ведущий консультант отдела строительного надзора,274.0
Тренер-преподаватель,301.0
Машинист холодильных установок,517.0
Хореограф,490.0
Специалист по безопасности,1252.0
Помощник руководителя,432.0
Начальник методического отдела,
Заведующий комплексом,1215.0
Инструктор по спорту,33.0
Фельдшер,163.0
Бухгалтер-кассир,612.0
Врач по спортивной медицине,647.0
Специалист по закупкам,1654.0
Инстуктор-методист,479.0
Электромонтер по ремонту обслуживанию электрооборудования,34.0
Рабочий по обслуживанию текущему ремонту зданий сооружений оборудования,1633.0
Приемщик пункта проката коньков,1587.0
Заместитель директора по эксплуатации сооружения,507.0
Заместитель директора по финансово-правовым вопросам,1330.0
Начальник спортивного отдела,
Заместитель директора по спортивной работе,316.0
Тренер,169.0
Врач,26.0
Психолог,392.0
Специалист по подготовке спортивного инвентаря,1004.0
Спортсмен,1058.0
Водитель самоходной техники,62.0
Слесарь по обслуживанию тепловых сетей,987.0
Старший инстуктор-методист,479.0
Водитель льдоуборочной машины,596.0
Старший тренер,11.0
Техник по ремонту обслуживанию электрооборудования,1144.0
Тренер-наездник лошадей,169.0
Системный инженер,1477.0
Конюх,2.0
Заместитель директора по финансовой деятельности главный бухгалтер,488.0
Экономист по планированию,571.0
Инструктор проката,1504.0
Кузнец ручной ковки,40.0
Инструктор-методист,119.0
Администратор спортивного сооружения,507.0
Старший тренер-преподаватель,11.0
Главный врач,1106.0
Начальник конюшни,19.0
Контрактный управляющий,397.0
Водитель легкового автомобиля,
Специалист по антидопинговому обеспечению,735.0
Заместитель директора по ср,37.0
Заместитель директора по методической работе,
Контролер технического состояния транспортных средств автомобильного транспорта,1669.0
Старший инструктор-методист,119.0
Дежурный администратор спортивных сооружений,1458.0
Заместитель директора по фхд,37.0
Рабочая по кухне,222.0
Сетевой администратор,140.0
Рабочий зеленого хозяйства спортивных сооружений,736.0
Машинист крана,69.0
Горничная,899.0
Врач по спортивной медецине,647.0
Бармен,2.0
Ведущий администратор,140.0
Начальник службы эксплуатации,317.0
Ремонтировщик плоскостных спортивных сооружений,710.0
Старшая горничная,899.0
Слесарь-электрик по ремонту электрооборудования,1639.0
Машинист экскаватора,69.0
Инженер по профессиональной уборке,1182.0
Кухонный рабочий,276.0
Гладильщица,565.0
Посудомойщица,565.0
Электрик,1098.0
Машинист погрузочной машины,69.0
Токарь,900.0
Главный энергетик,350.0
Мастер садово-паркового ландшафтного строительства,40.0
Инженер-строитель,27.0
Заведующая столовой,587.0
Начальник гаража,556.0
Слесарь- сантехник,939.0
Тренер- преподаватель,301.0
Электромонтер по ремонту обслуживанию электроустановок,34.0
Заместитель директора по финансово- экономической деятельноси главный бухгалтер,1330.0
Заместитель директора по хч,37.0
Рабочий по комплексному обслуживанию тепловых сетей,743.0
Специалист по безопасности дорожного движения,7.0
Заведующий комлексом,13.0
Специалист по обслуживанию ремонту спортивного инвентаря оборудования,1004.0
Специалист по обеспечению безопасности,1252.0
Экономист по материально-техническому снабжению,895.0
Массажист,988.0
Заместитель директора по административно- правовым вопросами,1628.0
Менеджер проектов,118.0
Начальник юридического отдела,364.0
Начальник отдела перспективных проектов,613.0
Начальник отдела по привлечению инвестиций,1011.0
Менеджер по привлечению инвестиций,1011.0
Исполняющий обязанности генерального директора,1126.0
Начальник отдела бухгалтерского учета кадровой работы,333.0
Заместитель начальника отдела перспективных проектов,613.0
Начальник финансово-экономического отдела,1695.0
Начальник отдела стратегического развития,182.0
Начальник отдела социальных проектов,678.0
Начальник отдела инфраструктурных объектов,182.0
Заместитель генерального директора,
Спортсмен-инструктор,1058.0
Техник по эксплуатации обслуживанию звукотехнического оборудования,1335.0
