cleaned_name,cluster
Заместитель главного врача по хозяйственным вопросам,904.0
Медицинская сестра процедурной,620.0
Провизор-технолог,462.0
Врач ультразвуковой диагностики,113.0
Заместитель заведующего оперативным отделом,1670.0
Ведущий специалист по закупкам,1654.0
Рентгенолаборант,402.0
Начальник отдела по защите информации,1645.0
Заместитель главного врача по развитию информационных технологий,281.0
Врач-челюстно-лицевой хирург,477.0
Врач по рентгенэндоваскулярным диагностике лечению,324.0
Врач-аллерголог-иммунолог,482.0
Заместитель главного врача по организационно-методической работе,281.0
Заведующий отделением-врач по спортивной медицине,647.0
Начальник центра врач-методист,731.0
Врач-оториноларинголог,1197.0
Начальник энергетической службы,
Врач -косметолог,1022.0
Врач оториноларинголог,1197.0
Врач физической реабилитационной медицины,297.0
Врач-ревматолог,1032.0
Медицинская сестра анестезист,1419.0
Врач-сердечно-сосудистый хирург,874.0
Завед отд -врач-рефлексотерапевт,653.0
Врач-акушер-гинеколог,867.0
Врач-стоматолог-терапевт,116.0
Заместитель начальника по информатизации,424.0
Заместитель начальника по медицинской статистике организационно-методической работе,1445.0
Начальник отдела технического сопровождения информационных систем сетевого компьютерного оборудования,200.0
Врач-рентгенолог,103.0
Главный врач бму комитета здравоохранения курской области,955.0
Дежурный оперативный,418.0
Ведущий инженер по пожарной безопасности,319.0
Медицинская сестра перевязочной,20.0
Врач-нейрохирург,1101.0
Старшая операционная медицинская сестра,476.0
Врач-уролог,990.0
Врач-эндоскопист,325.0
Заведующий отделением врач-анестезиолог-реаниматолог,1141.0
Заместитель главного врача по общим вопросам,281.0
Заведующий отделением-врач-дерматовенеролог,185.0
Врач-физиотерапевт,399.0
Врач-офтальмолог,165.0
Медицинская сестра функциональной диагностики,72.0
Оператор хлораторной установки,232.0
Медицинская сестра стерилизационной,620.0
Врач-гастроэнтеролог,109.0
Электромонтер по ремонту обслуживанию электорооборудования,34.0
Начальник центра врач-физиотерапевт,731.0
Заведующий кабинетом-врач -косметолог,1022.0
Начальник инфомационно-аналитического центра,
Заведующий отделом врач клинической лабораторной диагностики,570.0
Врач-фтизиатр,928.0
Кровельщик,249.0
Врач-пульмонолог,515.0
Заведующий отделением -врач физической реабилитационной медицины,297.0
Инженер по защите информации,1694.0
Дежурный бюро пропусков,367.0
Облицовщик плиточник,1280.0
Контент-менеджер,118.0
Заведующий отделом-врач-статистик,213.0
Медицинский психолог,1446.0
Контент-редактор,223.0
Инженер по метрологии,1274.0
Аппаратчик бельевых сушильных установок,495.0
Врач-травматолог-ортопед,52.0
Заведующий отделом-врач-терапевт,1671.0
Начальник регионального сосудистого центра врач-невролог,1369.0
Врач-клинический фармаколог,153.0
Начальник медицинского информационно-аналитического центра,
Начальник отдела материально-технического снабжения организации эксплуатации ремонту зданий тер,1693.0
Врач-бактериолог,378.0
Медицинская сестра по косметологии,1022.0
Заместитель главного врача по кадрам,281.0
Заведующий кабинетом-врач-дерматовенеролог,185.0
Заместитель главного врача по поликлинической работе,197.0
Врач-сурдолог-оториноларинголог,1087.0
Биолог,1510.0
Врач -детский хирург,167.0
Руководитель группы по учету материальных ценностей финансовому учету,1266.0
Заведующий аптекой-провизор,871.0
Заведующий отделением врач-сердечно-сосудистый хирург,874.0
Медицинская сестра приемного отделения,55.0
Врач-колопроктолог,1165.0
Заведующий отделением врач-невролог,1627.0
Врач-токсиколог,484.0
Заведующий отделением врач по коммунальной гигиене,840.0
Заведующий отделением врач приемного отделения,55.0
Руководитель группы по расчетам рабочими служащими,759.0
Врач-гематолог,1227.0
Врач-генетик,1091.0
Заведующий отделением врач функциональной диагностики,72.0
Фасовщик,249.0
Старший кассир,172.0
Заведующий консультацией врач-генетик,1091.0
Заведующий отделением врач-хирург,137.0
Врач-онколог,1136.0
Врач-нефролог,506.0
Врач по коммунальной гигиене,840.0
Заведующий отделением врач-сурдолог-оториноларинголог,1087.0
Заведующий отделением врач-травматолог-ортопед,52.0
Врач-торакальный хирург,936.0
Заведующий отделением врач-ревматолог,1032.0
Врач-лабораторный генетик,1091.0
Заведующий отделением врач-гастроэнтеролог,109.0
Руководитель службы охраны труда,794.0
Врач-трансфузиолог,439.0
Начальник отдела по ремонту обслуживанию медицинского оборудования,152.0
Заведующий отделением врач-эндокринолог,190.0
Заведующий отделением врач по рентгенэндоваскулярным диагностике лечению,324.0
Заведующий отделением врач-кардиолог,130.0
Врач-лаборант,8.0
Заместитель главного врача по экстренной неотложной медицинской помощи,903.0
Заместитель руководителя контрактной службы,701.0
Главная медицинская сестра,620.0
Врач бактериолог,378.0
Заведующий отделением врач-нейрохирург,1101.0
Заведующий отделением врач-аллерголог-иммунолог,482.0
Заведующий отделением врач-нефролог,506.0
Заведующий консультативно-диагностической поликлиникой врач-терапевт,89.0
Приемщик заказов,1275.0
Заведующий оперативным отделом,993.0
Заместитель главного врача по хирургической помощи,1147.0
Начальник отдела станционного оборудования телефонной связи,897.0
Заведующий отделом врач-методист,1671.0
Заведующий прачечной,13.0
Приготовитель стиральных растворов,1351.0
Заместитель заведующего аптекой-провизор,1670.0
Врач приемного отделения врач-специалист,261.0
Заместитель начальника отдела автоматизированных систем управления защиты информации,829.0
Заведующий отделением врач-оториноларинголог,305.0
Заместитель главного врача по экономическим вопросам,377.0
Заведующий отделением врач ультразвуковой диагностики,1250.0
Заведующий отделением врач-рентгенолог,1676.0
Электромеханик по ремонту обслуживанию медицинского оборудования,152.0
Заведующий отделением врач-радиолог,583.0
Заместитель главного врача по терапевтической помощи,281.0
Заведующий отделением врач-эндоскопист,954.0
Медицинский брат анестезист,1419.0
Электромонтер станционного оборудования телефонной связи,897.0
Водитель погрузчика,62.0
Заведующий отделением врач-физиотерапевт,399.0
Агент по снабжению,524.0
Начальник цеха лечебного питания,953.0
Заведующий отделением врач-торакальный хирург,936.0
Врач приемного отделения врач-хирург,261.0
Врач-диетолог,460.0
Ведущий инженер по защите информации,1694.0
Заведующий отделением врач-челюстно-лицевой хирург,477.0
Врач-рефлексотерапевт,1193.0
Начальник отдела платных услуг,182.0
Начальник отдела гражданской обороны чрезвычайных ситуаций,685.0
Учитель дефектолог,195.0
Врач педиатр,112.0
Заведующий отделением врач-гематолог,1227.0
Заведующий отделением врач-пульмонолог,515.0
Старший мастер лифтового участка,306.0
Электромеханик по лифтам,522.0
Контролер качества обработки одежды белья,245.0
Заведующий отделением врач-колопроктолог,1165.0
Заместитель главного врача по клинико-экспертной работе,273.0
Плотник,1200.0
Руководитель контрактной службы,701.0
Начальник планово-экономического отдела,1699.0
Заведующий отд-врач- инфекционист,600.0
Заведующий отделом- медицинский психолог,1446.0
Заведующий отд врач-эпидемиолог,221.0
Помощник врача-эпидемиолога,127.0
Заведующий отделением врач-уролог,178.0
Начальник отдела автоматизированных систем управления защиты информации,829.0
Начальник газовой службы,1545.0
Врач-психиатр-нарколог,362.0
Заместитель главного врача по инфекционной работе,281.0
Заведующий лабораторией врач клинической лабораторной диагностики,1637.0
Начальник отдела разработки внедрения информационных систем,200.0
Врач-гериатр,370.0
Каменщик,249.0
Монтажник каркасно--обшивных конструкций,831.0
Заведующий отделом врач-бактериолог,378.0
Врач-радиолог,583.0
Инструктор по трудовой терапии,1029.0
Экономист по финансовой работе,509.0
Ведущий бухгалтер-ревизор,351.0
Оператор поэтажного эскалатора,70.0
Заместитель главного врача по медицинской части,281.0
Инструктор по гигиеническому воспитанию,33.0
Ведущий специалист по технической поддержке,611.0
Заведующий отделением врач-клинический фармаколог,153.0
Контролер технического состояния автотранспортных средств,1669.0
Медицинская сестра по медицинской реабилитации,297.0
Врач приемного отделения,55.0
Слесарь по контрольно-измерительным приборам автоматике,97.0
Заместитель главного врача по хирургической работе,1147.0
Заместитель начальника отдела гражданской обороны чрезвычайным ситуациям,1479.0
Врач приемного отделения врач-терапевт,261.0
Врач-детский хирург,167.0
Старший провизор,715.0
Ведущий инжерен по ремонту обслуживанию медицинского оборудования,152.0
Заведующий диагн лабораторией- врач клинической лабораторной диагностики,1637.0
Начальник центра -врач физической реабилитационной медицины,297.0
Врач-психотерапевт,580.0
Врач рефлексотерапевт,1193.0
Телефонист,104.0
Руководитель центра врач-специалист,
Комплектовщик белья,532.0
Заведующий кожно-венерологическим диспансером врач-специалист,269.0
Заведующий отделением-врач медицинской помощи,194.0
Инженер-электроник,758.0
Начальник отдела гражданской обороны черезвычайных ситуаций мобилизационной работы,1649.0
Заведующий центром врач-эпидемиолог,221.0
Столяр строительный,198.0
Укладчик-упаковщик,249.0
Заведующий центром врач-дерматовенеролог,185.0
Начальник службы водопроводно-канализационной кондиционирования воздуха отопления,945.0
Врач приемного отделения врач-инфекционист,1452.0
Подготовитель белья для глажения,532.0
Оператор оборудования для утилизации обезвреживания медицинских биологических отходов,533.0
Врач -психиатр,263.0
Врач медицинской помощи,194.0
Секретарь машинистка,376.0
Заведующий отделением врач-приемного отделения-врач-инфекционист,1452.0
Старший врач медицинской помощи,1152.0
Ведущий экономист по финансовой работе,509.0
Врач-стоматолог детский,
Механик гаража,556.0
Штукатур,129.0
Инструктор-методист по лечебной физкультуре,916.0
Заместитель главного врача руководитель регионального сосудистого центра,1369.0
Врач-терапевт участковый,593.0
Врач-педиатр участковый,50.0
Заведующий женской консультацией врач-акушер-гинеколог,205.0
Заведующий отделением врач-терапевт,1671.0
Врач-психиатр детский,1327.0
Заведующий поликлиникой врач-невролог,17.0
Заведующий отделением врач-педиатр,1630.0
Медицинская сестра участковая,593.0
Заведующий отделением врач-патологоанатом,423.0
Врач-патологоанатом,423.0
Инженер -электромеханик,522.0
Заведующий лабораторией врач-бактериолог,1180.0
Заведующий отделением врач-нейрохируг,1627.0
Акушерка,631.0
Начальник кислородной службы,
Зубной врач,769.0
Заведующий кабинетом статистики врач-статистик,1659.0
Заведующий кабинетом врач функциональной диагностики,72.0
Заведующий отделением медицинской профилактики врач-терапевт,569.0
Заместитель главного врача по лечебной работе,281.0
Техник по метрологии,394.0
Врач-детский уролог-андролог,95.0
Медицинская сестра по физиотерапии озокерито- грязе-терапия,410.0
Врач-детский эндокринолог,266.0
Специалист по технической защите информации,1646.0
Специалист гражданской обороны,1672.0
Заведующий детской поликлиникой врач-педиатр,1630.0
Заведующий отделением врач-стоматолог-терапевт,116.0
Электромонтер связи,1128.0
Врач-стоматолог-хирург,77.0
Заведующий хирургическим отделением-врач-стоматолог-хирург,64.0
Врач-стоматолог,196.0
Зубной техник,408.0
Заведующий организационно-методическим кабинетом-врач-методист,421.0
Врач-ортодонт,817.0
Старший зубной техник,408.0
Заведующий ортодонтическим отделением-врач-ортодонт,817.0
Заведующий терапевтическим отделением-врач-стоматолог детский,128.0
Заведующий лечебно-профилактического отделения-врач-стоматолог детский,
Медицинская сестра стеризационной,620.0
Гигиенист стоматологический,196.0
Служебная,454.0
Служебная должность,454.0
Рабочий по комплексному обслуживанию зданий сооружений,1663.0
Заместитель директора по медицинской статистике,1575.0
Заместитель директора по информационно-аналитической работе,
Техник по защите информации,822.0
Заместитель директора по информационным технологиям,1629.0
Главный специалист по защите информации,1646.0
Врач детский эндокринолог,266.0
Врач детский хирург,167.0
Врач -анестезиолог- реаниматолог,101.0
Врач приемного отделения-врач-педиатр,261.0
Врач неонатолог,106.0
Заведующий отделением-врач-физиотерапевт,399.0
Медицинская сестра -анестезист,620.0
Грузчик,651.0
Начальник отдела-программист,182.0
Врач детский кардиолог,785.0
Начальник отдела гражданской обороны чрезвычайных ситуаций мобилизационной работы,1649.0
Заведующий травматологическим пунктом-врач-травматолог-ортопед,52.0
Медицинская сестра эндоскопического кабинета,59.0
Заведующий отделением-врач-педиатр,1630.0
Заведующий лабораторией-врач клинической лабораторной диагностики,1637.0
Заведующий отделением-врач-рентгенолог,1676.0
Заведующий отделением-врач ультразвуковой диагностики,1250.0
Заведующий отделением-врач функциональной диагностики,72.0
Заведующий отделением-врач-аллерголог-иммунолог,482.0
Заведующий отделением-врач-пульмонолог,515.0
Заведующий отделением-врач-нефролог,506.0
Заместитель главного врача по работе детского консультативно-диагностического центра,281.0
Заведующий отделением-врач-невролог,1627.0
Инстуктор по лечебной физкультуре,916.0
Медицинский брат по массажу,988.0
Заведующий отделением травматологии ортопедии-врач-травматолог-ортопед,52.0
Заведующий отделением врач- детский хирург,167.0
Заведующий хирургическим отделеним-врач-детский хирург,167.0
Врач детский уролог-андролог,95.0
Врач физиотерапевт,399.0
Заместитель главного врача по хирургии,281.0
Врач- невролог,220.0
Врач- травматолог- ортопед,52.0
Заведующий отделением патологии новорожденных недоношенных детей-врач-неонатолог,1255.0
Оператор электронно вычислительных вычислительных машин,1635.0
Заведующий отделением -врач анестезиолог-реаниматолог,1141.0
Врач-детский кардиолог,785.0
Рентгенолаборант без доп тарифа,1496.0
Врач по паллиативной медицинской помощи,835.0
Специалист сфере закупок,1654.0
Главный тренер,169.0
Специалист по финансовому консультированию,1502.0
Аналитик,353.0
Преподаватель хореографии,490.0
Преподаватель по классу фортепиано,1634.0
Заместитель главыного редактора,1698.0
Лесовод,535.0
Водитель по участку,577.0
Слесарь-электрик,690.0
Мастер уч-ка,406.0
Водитель участку,577.0
Мастер цеха,40.0
Начальник курского уч-ка,406.0
Юрист консульт,467.0
Начальник уч-ка,406.0
Рамщик рам,877.0
Вальщик леса,1280.0
Водитель пожарной машины,1232.0
Боец пожарной машины,1232.0
Пожарный сторож,1099.0
Заместитель главный бухгалт,1698.0
Мастер участка,230.0
Заместитель председателя правительства курской области министр природных ресурсов курской области,141.0
Заместитель председателя правительства курской области министр,141.0
Начальник отдела главный бухгалтер,88.0
Главный государственный охотничий инспектор,188.0
Врач приемного отделения-врач-фтизиатр,261.0
Начальник транспортного отдела,
Врач-фтизиатр участковый,155.0
Заведующий отделением врач-фтизиатр,928.0
Медицинская сестра-анастезист,620.0
Врач анестезиолог-реаниматолог,101.0
Ведущий бухгалтер по расчетам рабочими служащими,759.0
Ведущий бухгалтер по учету материальных ценностей,1266.0
Ведущий бухгалтер по финансовому учету,1683.0
Начальник отдела информатизации информационной безопасности,1645.0
Заведующий лабораторией-врач-бактериолог,1180.0
Заведующий кабинетом врач-фтизиатр,928.0
Заведующий кабинетом- врач функциональной диагностики,72.0
Заведующий отделом-врач-методист,1671.0
Заведующий кабинетом врач-трансфузиолог,439.0
Заведующий кабинетом врач-эндоскопист,59.0
Начальник энергетического отдела,868.0
Заместитель главного врача по гражданской обороне мобилизационной работе,1229.0
Медицинская сестра медико-социальной помощи,620.0
Ведущий инженер по метрологии,1274.0
Помощник врача- эпидемиолога,127.0
Сестра-хозяйка без доп тарифа,1496.0
Ведущий бухгалтер по учету калькуляции продуктов питания,96.0
Заместитель главного врача по медицинской помощи амбулаторных условиях,281.0
Продавец продовольственных товаров,1169.0
Медицинский брат участковый,1119.0
Начальник информационно-аналитического отдела,
Заведующая кабинетом врач-терапевт,855.0
Заведующий отделением -врач по лечебной физкультуре,1047.0
Заведующий терапевтическим отделением- врач-терапевт,128.0
Заместитель главного врача по клинико экспертной работе,273.0
Начальник штаба гражданской обороны чрезвычайных ситуаций,685.0
Заведующий отделением медицинской профилактики врач терапевт,569.0
Заведующий выездной патронажной службой паллиативной медицинской помощи-врач по паллиативной медицинской помощи,835.0
Заведующий кабинетом врача-невролога-врач-невролог,1072.0
Заведующая дневным стационаром- врач терапевт,328.0
Заведующая отделением врач по лечебной физкультуре,1047.0
Заведующий рентгенологическим отделением-врач-рентгенолог,1676.0
Врач функциональной диагностики отделение функциональной диагностики,72.0
Заведующий клинико-диагностической лабораторией-врач клинической лабораторной диагностики,1637.0
Заведующий офтальмологическим кабинетом-врач -офтальмолог,1226.0
Заведующий хирургическим отделением-врач-хирург,64.0
Врач-терапевт каб мед профилактики,1491.0
Врач-рентгенолог внешний,103.0
Заведующий отделением ортопедической стоматологии врач-стоматолог-ортопед,422.0
Заведующий выездной патронажной службы,1377.0
Заведующий стоматологическим отделением врач-стоматолог-терапевт,250.0
Заведующий отделением рентгенодиагностики-врач-ренгенолог,1676.0
Заведующий отделом врач судебно медицинский эксперт,778.0
Заместитель начальника по экспертной работе,273.0
Врач судебно-медицинский эксперт,778.0
Ведущий бухгалтер по финансовой работе,1683.0
Ведущий экномист по финансовой работе,1683.0
Заместитель начальника по экономической работе,424.0
Врач методист,1040.0
Начальник обуз,19.0
Заместитель начальника по хозяйственным вопросам,904.0
Врач патологоанатом,423.0
Врач стажер,243.0
Химик-эксперт медицинской организации,1245.0
Специалист по гражданской обороне,1672.0
Врач рентгенолог,103.0
Санитар по приему трупов морг,669.0
Санитар по приему трупов морг ночное время,669.0
Оператор электронно- вычислительных вычислительных машин,1635.0
Врач-стоматолог-ортопед,422.0
Заведующий фельдшерско-акушерским пунктом фельдшер,228.0
Заведующая поповкинским фельдшерско-акушерский пункт-фельдшер,9.0
Заведующая фельдшерско-акушерским пунктом медицинская сестра,228.0
Медицинская сестра по профилактике,1674.0
Заведующий терапевтическим отделением врач-терапевт,128.0
Врач педиатр кабинета здорового ребенка,135.0
Врач фунциональной диагностики,113.0
Диспетчер гаража,556.0
Заведующая фельдшерско-акушерский пункт акушерка,574.0
Врач по медицинской профилактике,1674.0
Системный администратор информационно-коммуникальных систем,314.0
Врач-психиатр участковый,972.0
Заведующий отделением паллиативной медицинской помощи взрослым-врач по паллиативной медицинской помощи,45.0
Начальник планово -экономического отдела,1699.0
Медицинский психолог к-та медицинской профилактики,1173.0
Заведующая фатеевским фельдшерско-акушерский пункт-фельдшер,9.0
Врач-травмотолог-ортопед,742.0
Врач-педиатр к-та неотложной медицинской помощи,903.0
Медицинская сестра по трансфузиологии,439.0
Старший фельдшер медицинской помощи,476.0
Заведующий поликлиникой,89.0
Медицинская сестра по приему вызовов медицинской помощи передаче их выездным бригадам медицинской помощи,620.0
Медицинская сестра процедурного кабинета,237.0
Заведующий клинико-диагностической лабораторией врач клинической лабораторной диагностики,1637.0
Фельдшер медицинской помощи,476.0
Заведующая фельдшерско-акушерский пункт медицинская сестра,1103.0
Заведующий отделением врач-стоматолог,1627.0
Системный администратор информационно-коммуникационных систем,314.0
Фельдшер-лаборант,201.0
Медицинская сестра к-та паллиативной мед помощи взрослым поликлиники,45.0
Заведующий детской поликлиникой-врач- педиатр,1630.0
Врач по паллиативной медицинской помощи к-та паллиативной медицинской помощи взрослым поликлиники,45.0
Врач онколог,1136.0
Заведующий детской поликлиникой -врач-педиатр,1630.0
Заместитель главного врача по кэр,49.0
Врач- педиатр кабинета здорового ребенка,135.0
Кухонный работник,276.0
Инженер-программист по технической защите информации,1646.0
Медицинская сестра по функциональной диагностике,72.0
Рабочий по комплексному обслуживанию ремонту зданий сооружений,1663.0
Врач здравпункта,1036.0
Медицинский брат палатный,1119.0
Заведующий отделением-врач по медицинской профилактике,1674.0
Заведующий амбулаторным отделением-врач физиотерапевт,1053.0
Врач мануальной терапии,1029.0
Заведующий отделением-врач-кардиолог,130.0
Заместитель главного врача по амбулаторно-поликлинической работе,197.0
Медицинская сестра кабинета инфекционных заболеваний,1515.0
Заведующий отделением-врач-оториноларинголог,305.0
Заведующий кабинетом-врач-невролог,220.0
Заведующий отделением-врач-ренгенолог,1676.0
Заведующий информационно-аналитическим отделением-врач-статистик,213.0
Рентгенолаборант флюорографического кабинета,402.0
Заведующий отделением-врач-хирург,137.0
Заведующий кабинетом-врач-офтальмолог,165.0
Начальник информационного отдела,1207.0
Санитарка операционная,554.0
Медицинская сестра каб-та онколог,1578.0
Заведующий центром врач лечебной физкультуры,1047.0
Заведующий отделением врач офтальмолог,165.0
Врач -трансфузиолог,439.0
Заместитель главного врача по оргметодработе,281.0
Санитарка перевязочного кабинета,20.0
Повар пищеблок,267.0
Сестра хозяйка,184.0
Врач психотерапевт,580.0
Начальник отдела автоматизированой системы управления,1708.0
Медицинская сестра кабинета врача-уролога,682.0
Заведующий терапевт отд врач-терапевт,132.0
Участковая медицинская сестра терапевтического отд пол-ки,907.0
Бухгалтер по расчетам,1251.0
Заместитель главного врача,281.0
Санитарка уборщица палатная,168.0
Заместитель главного врача по мед части,1208.0
Медсеста экг,723.0
Специалист отдел кадров,1667.0
Медицинская сестра процедурная,620.0
Врач r-отделение,1399.0
Младший медицинский брат по уходу за больными,1584.0
Медицинская сестра кабинета врача-хирурга,237.0
Врач-диабетолог,26.0
Медицинский брат стерилизационной,1119.0
Врач отоларинголог,644.0
Инженер по строительству ахо,1041.0
Медрегистратор,1049.0
Санитарка-уборщица,1289.0
Санитарка буфетчица,257.0
Врач узд,1691.0
Рентгенлаборант фрюорографического кабинета,826.0
Медицинская сестра прививочного к-та,620.0
Инженер по строительству,1041.0
Заведующий кабинетом врач терапевт,959.0
Фельдшер здравпункта,1036.0
Врач экг,1691.0
Медбрат по массажу,988.0
Санитарка уборщица,1289.0
Участковая медицинская сестра,907.0
Заведующий отделением врач рентгенолог,1676.0
Слесарь,12.0
Инженер по технике безопасности,538.0
Операционный медицинский брат,1119.0
Медицинский регистратор справочного бюро,1049.0
Лаборант r-отделения,1553.0
Рентген-лаборант,337.0
Медсеста прием отд,723.0
Медбрат,1533.0
Кухонный,276.0
Врач акушер-гинеколог,867.0
Слесарь кипа,1098.0
Медицинский брат перевязочной,1119.0
Медицинский брат приемного отделения,1119.0
Врач травматолог,52.0
Врач по медицинской реабилитации,297.0
Участковый врач-терапевт,907.0
Заведующий диагностическим отделением- врач ультразвуковой диагностики,1250.0
Провизор-технолог по информационной работе,462.0
Врач-отоларинголог,644.0
Слесарь по обслуживанию тепловых тепловых пунктов,987.0
Инженер по организации эксплуатации ремонту зданий сооружений,1633.0
Врач-невролог по оказанию экстренной помощи,989.0
Медицинская сестра стерелизационной,620.0
Медицинский брат-анестезист,1419.0
Рентген-лаборант r-отделения,337.0
Специалист отдела кадров,1151.0
Рабочий по обслуживанию кортов,41.0
Мед психолог,1118.0
Рабочийпокомплексобслужремонту,1619.0
Медицинская сестра масс,620.0
Заведующий орг методотделом,1059.0
Медицинская сестра проц,620.0
Старший медицинская сестра,476.0
Врач невролог,220.0
Медицинская сестра экг,620.0
Химикэксперт,1245.0
Инженерпрограммист,136.0
Врачклиничлабдиагностики,657.0
Старший специалист по кадрам,1476.0
Заместитель главный врача по медицинскому обслуживанию населения,304.0
Заместитель по кэр,49.0
Заведующий отделением-врач-псих нарк,1627.0
Врачметодист,1040.0
Врач терапевт,132.0
Помощник эпидемиолога,127.0
Фельдшер-лабора,163.0
Фельдшер-нарколог,163.0
Начальник хо,19.0
Врач анес реани,26.0
Заместитель главный врача,304.0
Заведующий физиокабинетом,13.0
Медицинская сестра физио,410.0
Заведующий лабораторией клин,575.0
Врач лаборант,8.0
Врач узи,1691.0
Специалист по оране труда,668.0
Главный медицинская сестра,1507.0
Уборщик служ помещ,427.0
Медстатистик,213.0
Специалист по соцработе,123.0
Млад медицинская сестра по уходу за больными,605.0
Уборщик служ помещений,654.0
Заведующий ортодонтическим кабинетом врач-ортодонт,817.0
Литейщик,249.0
Начальник отдела го чс мр,1647.0
Заведующий зуботехнической лабораторией,575.0
Заместитель главного врача по административно-хозяйственной работе,
Переплетчица,872.0
Техник-электрик,82.0
Специалист мсго,123.0
Бухгалтер по ос учету мз,61.0
Медицинская сестра ортопед отд,1348.0
Заведующий производством,227.0
Оператор вакуумно-напылительной установки,232.0
Заместитель главный бухгалтера по нал стат учету,1679.0
Заместитель главный врача по моб работе,93.0
Рабочий по комплексному обслуж зданий,1663.0
Главный программист,104.0
Начальник отдела по моб работе гражд обороне,1366.0
Инженер по го заместитель главный врача по моб работе то,93.0
Бухгалтер по финансовому учету,1683.0
Контролер мзп,1105.0
Санитарка ортопед отд,1271.0
Рентген-лаборант-пен,337.0
Врач-стоматолог-ортодонт,196.0
Заведующий терапевтическим отделением-врач-терапевт,128.0
Специалист по сопровождению программного обеспечения,1551.0
Врач терапевт участковый,593.0
Заведующая фельдшерско-акушерский пункт -фельдшер,9.0
Санитарка терапевтического отделения,142.0
Медицинская сестра участковая кабинета врача-терапевта участкового,593.0
Медицинская сестра стоматологического кабинета,620.0
